params,retorno_porcentual,win_rate
"{'periodo_corto': 5, 'periodo_largo': 17, 'periodo_signal': 3}",1.92,0.5
"{'periodo_corto': 16, 'periodo_largo': 11, 'periodo_signal': 12}",1.81,0.639344262295082
"{'periodo_corto': 4, 'periodo_largo': 96, 'periodo_signal': 3}",1.79,0.4777777777777778
"{'periodo_corto': 5, 'periodo_largo': 12, 'periodo_signal': 5}",1.79,0.5168539325842697
"{'periodo_corto': 4, 'periodo_largo': 106, 'periodo_signal': 3}",1.78,0.48863636363636365
"{'periodo_corto': 3, 'periodo_largo': 14, 'periodo_signal': 5}",1.77,0.49056603773584906
"{'periodo_corto': 5, 'periodo_largo': 14, 'periodo_signal': 3}",1.77,0.5142857142857142
"{'periodo_corto': 5, 'periodo_largo': 15, 'periodo_signal': 3}",1.75,0.49514563106796117
"{'periodo_corto': 4, 'periodo_largo': 115, 'periodo_signal': 3}",1.74,0.47674418604651164
"{'periodo_corto': 4, 'periodo_largo': 111, 'periodo_signal': 3}",1.73,0.47126436781609193
"{'periodo_corto': 2, 'periodo_largo': 11, 'periodo_signal': 5}",1.72,0.48091603053435117
"{'periodo_corto': 4, 'periodo_largo': 97, 'periodo_signal': 3}",1.71,0.4606741573033708
"{'periodo_corto': 5, 'periodo_largo': 10, 'periodo_signal': 6}",1.7,0.4842105263157895
"{'periodo_corto': 14, 'periodo_largo': 12, 'periodo_signal': 10}",1.7,0.6382978723404256
"{'periodo_corto': 4, 'periodo_largo': 104, 'periodo_signal': 3}",1.69,0.4777777777777778
"{'periodo_corto': 4, 'periodo_largo': 105, 'periodo_signal': 3}",1.69,0.48314606741573035
"{'periodo_corto': 4, 'periodo_largo': 112, 'periodo_signal': 3}",1.69,0.47126436781609193
"{'periodo_corto': 4, 'periodo_largo': 113, 'periodo_signal': 3}",1.69,0.47126436781609193
"{'periodo_corto': 18, 'periodo_largo': 17, 'periodo_signal': 4}",1.69,0.5842696629213483
"{'periodo_corto': 2, 'periodo_largo': 26, 'periodo_signal': 5}",1.67,0.45901639344262296
"{'periodo_corto': 4, 'periodo_largo': 95, 'periodo_signal': 3}",1.67,0.45161290322580644
"{'periodo_corto': 4, 'periodo_largo': 114, 'periodo_signal': 3}",1.67,0.4659090909090909
"{'periodo_corto': 3, 'periodo_largo': 94, 'periodo_signal': 5}",1.66,0.5
"{'periodo_corto': 4, 'periodo_largo': 99, 'periodo_signal': 3}",1.66,0.4666666666666667
"{'periodo_corto': 5, 'periodo_largo': 14, 'periodo_signal': 4}",1.66,0.4943820224719101
"{'periodo_corto': 14, 'periodo_largo': 12, 'periodo_signal': 12}",1.66,0.632183908045977
"{'periodo_corto': 4, 'periodo_largo': 193, 'periodo_signal': 3}",1.65,0.49382716049382713
"{'periodo_corto': 5, 'periodo_largo': 10, 'periodo_signal': 5}",1.65,0.5151515151515151
"{'periodo_corto': 19, 'periodo_largo': 12, 'periodo_signal': 5}",1.65,0.6266666666666667
"{'periodo_corto': 2, 'periodo_largo': 99, 'periodo_signal': 6}",1.64,0.4574468085106383
"{'periodo_corto': 2, 'periodo_largo': 118, 'periodo_signal': 6}",1.64,0.45555555555555555
"{'periodo_corto': 4, 'periodo_largo': 110, 'periodo_signal': 3}",1.64,0.4772727272727273
"{'periodo_corto': 4, 'periodo_largo': 116, 'periodo_signal': 3}",1.64,0.47674418604651164
"{'periodo_corto': 16, 'periodo_largo': 11, 'periodo_signal': 11}",1.64,0.6129032258064516
"{'periodo_corto': 18, 'periodo_largo': 17, 'periodo_signal': 9}",1.64,0.5966386554621849
"{'periodo_corto': 2, 'periodo_largo': 11, 'periodo_signal': 10}",1.63,0.494949494949495
"{'periodo_corto': 2, 'periodo_largo': 117, 'periodo_signal': 6}",1.63,0.4444444444444444
"{'periodo_corto': 3, 'periodo_largo': 13, 'periodo_signal': 5}",1.63,0.5094339622641509
"{'periodo_corto': 4, 'periodo_largo': 98, 'periodo_signal': 3}",1.63,0.4777777777777778
"{'periodo_corto': 4, 'periodo_largo': 107, 'periodo_signal': 3}",1.63,0.47191011235955055
"{'periodo_corto': 17, 'periodo_largo': 11, 'periodo_signal': 10}",1.63,0.5573770491803278
